car_ID,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,13495
2,alfa-romero stelvio,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,16500
3,alfa-romero Quadrifoglio,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,16500
4,audi 100 ls,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,13950
5,audi 100ls,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,17450
6,audi fox,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,15250
7,audi 100ls,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710
8,audi 5000,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920
9,audi 4000,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875
10,audi 5000s (diesel),99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,17859.167
11,bmw 320i,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430
12,bmw 320i,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925
13,bmw x1,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,20970
14,bmw x3,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,21105
15,bmw z4,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25,24565
16,bmw x4,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22,30760
17,bmw x5,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22,41315
18,bmw x3,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20,36880
19,chevrolet impala,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151
20,chevrolet monte carlo,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,6295
21,chevrolet vega 2300,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,6575
22,dodge rampage,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
23,dodge challenger se,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377
24,dodge d200,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
25,dodge monaco (sw),93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
26,dodge colt hardtop,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
27,dodge colt (sw),93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609
28,dodge coronet custom,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558
29,dodge dart custom,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921
